date,module,corr_ln_mcap
2006-03-31,trend,-0.1020711278486136
2006-03-31,breakout,-0.1143938400223027
2006-03-31,quality,0.123568721612346
2006-03-31,risk,0.3269439700795247
2006-03-31,score,0.005893220546004905
2006-06-30,trend,-0.050732529982134525
2006-06-30,breakout,-0.09991144613648344
2006-06-30,quality,0.271307327243871
2006-06-30,risk,0.13976881104819278
2006-06-30,score,0.06238367268638273
2006-09-29,trend,-0.10244971210616978
2006-09-29,breakout,0.02441690117624623
2006-09-29,quality,0.3749825937225514
2006-09-29,risk,0.12522426279155485
2006-09-29,score,0.05630023854467274
2006-12-29,trend,0.38587665237586216
2006-12-29,breakout,0.09685701874190893
2006-12-29,quality,0.40884429519831006
2006-12-29,risk,0.25858089458669603
2006-12-29,score,0.3875402511706477
2007-03-30,trend,-0.13663527434558018
2007-03-30,breakout,-0.24729543632142054
2007-03-30,quality,0.3602836831724992
2007-03-30,risk,-0.02797271729185845
2007-03-30,score,-0.0747243396425085
2007-06-29,trend,0.2404256302303399
2007-06-29,breakout,0.2970918816516085
2007-06-29,quality,0.42004238816904654
2007-06-29,risk,0.29254272537054493
2007-06-29,score,0.391124285276414
2007-09-28,trend,0.33260370020848407
2007-09-28,breakout,0.12621074802930732
2007-09-28,quality,0.40867513320925947
2007-09-28,risk,0.23709070368174678
2007-09-28,score,0.3536275876444476
2007-12-28,trend,-0.027359246012324315
2007-12-28,breakout,-0.16485790650169627
2007-12-28,quality,0.41376561381308324
2007-12-28,risk,0.05444754404078718
2007-12-28,score,0.06605120303336104
2008-03-31,trend,-0.1427347872011793
2008-03-31,breakout,-0.14373148648148337
2008-03-31,quality,0.34393887126770006
2008-03-31,risk,0.023815947764663274
2008-03-31,score,-0.0522802226619758
2008-06-30,trend,0.07858268080406954
2008-06-30,breakout,-0.02247024414098573
2008-06-30,quality,0.30451608578049144
2008-06-30,risk,0.17113236285452907
2008-06-30,score,0.1409439372109779
2008-09-26,trend,0.17797984051503232
2008-09-26,breakout,0.04894867992436556
2008-09-26,quality,0.2408911273857626
2008-09-26,risk,0.12179388552732041
2008-09-26,score,0.20132397552931164
2008-12-31,trend,-0.0487542624534108
2008-12-31,breakout,-0.0905824654269205
2008-12-31,quality,0.18889249677018383
2008-12-31,risk,0.16984790439746966
2008-12-31,score,0.03576981405135584
2009-03-31,trend,-0.1511719731970716
2009-03-31,breakout,-0.024651004036582054
2009-03-31,quality,0.21793515255149093
2009-03-31,risk,0.059179637538011545
2009-03-31,score,-0.06006950284801057
2009-06-30,trend,0.022888810999850028
2009-06-30,breakout,0.11679086606415891
2009-06-30,quality,0.20066410620672637
2009-06-30,risk,0.07572768323712355
2009-06-30,score,0.06625979528501665
2009-09-30,trend,-0.028675423975968194
2009-09-30,breakout,-0.1495098509298599
2009-09-30,quality,0.1475736223712877
2009-09-30,risk,0.015542605443704062
2009-09-30,score,-0.06053945019378171
2009-12-31,trend,-0.21060591889496183
2009-12-31,breakout,-0.11378689660641494
2009-12-31,quality,0.14120440924687463
2009-12-31,risk,0.06661382013503048
2009-12-31,score,-0.1339233340040509
2010-03-31,trend,-0.3669043653860862
2010-03-31,breakout,-0.367291407167165
2010-03-31,quality,0.18211275843947813
2010-03-31,risk,0.08927264324006745
2010-03-31,score,-0.2991728892599434
2010-06-30,trend,-0.059003870662039874
2010-06-30,breakout,-0.12031368395639692
2010-06-30,quality,0.19533171256766704
2010-06-30,risk,0.09958906376024701
2010-06-30,score,0.004011925367949951
2010-09-30,trend,-0.06644342340113807
2010-09-30,breakout,-0.10823200969336974
2010-09-30,quality,0.2660056740416724
2010-09-30,risk,0.02704894539342894
2010-09-30,score,-0.050842188722833304
2010-12-31,trend,0.05198568675753702
2010-12-31,breakout,-0.045011437522594906
2010-12-31,quality,0.2861961195307527
2010-12-31,risk,-0.0013741255224627672
2010-12-31,score,0.03755856889908388
2011-03-31,trend,0.0412751892144252
2011-03-31,breakout,-0.14319662568684519
2011-03-31,quality,0.2975483107100676
2011-03-31,risk,-0.0011752697696002846
2011-03-31,score,0.05064654631867893
2011-06-30,trend,-0.0009549710062818892
2011-06-30,breakout,-0.030581068247794017
2011-06-30,quality,0.3086096500192898
2011-06-30,risk,0.11083259705611118
2011-06-30,score,0.07944834323755343
2011-09-30,trend,0.09809288055943248
2011-09-30,breakout,-0.01229306096823127
2011-09-30,quality,0.3449220553487005
2011-09-30,risk,0.1627341312446192
2011-09-30,score,0.19239374714916826
2011-12-30,trend,0.20843562950286396
2011-12-30,breakout,0.1344097866035249
2011-12-30,quality,0.26648191761965306
2011-12-30,risk,0.39655604801724037
2011-12-30,score,0.3166457293240342
2012-03-30,trend,0.14836502576934676
2012-03-30,breakout,-0.021762623527054065
2012-03-30,quality,0.2570421473427612
2012-03-30,risk,0.40687135502196004
2012-03-30,score,0.24818080750752075
2012-06-29,trend,0.06418148026540821
2012-06-29,breakout,0.04182899033211385
2012-06-29,quality,0.23645306661005502
2012-06-29,risk,0.28460325421362387
2012-06-29,score,0.15009348036318745
2012-09-28,trend,0.07809380152924028
2012-09-28,breakout,0.10964391949624286
2012-09-28,quality,0.25713789069640325
2012-09-28,risk,0.3177940177029528
2012-09-28,score,0.23036216604889628
2012-12-31,trend,0.14112534683281602
2012-12-31,breakout,0.23087649528698265
2012-12-31,quality,0.22757835526351736
2012-12-31,risk,0.3826971052467651
2012-12-31,score,0.298235029905806
2013-03-29,trend,-0.008238303323165498
2013-03-29,breakout,0.013316512036892143
2013-03-29,quality,0.20896056845785077
2013-03-29,risk,0.3018648883284227
2013-03-29,score,0.10606059720764319
2013-06-28,trend,-0.0556048349601262
2013-06-28,breakout,-0.04927113981677383
2013-06-28,quality,0.18741026541774408
2013-06-28,risk,0.11574968594592952
2013-06-28,score,0.021838146310875762
2013-09-30,trend,-0.007196326335468991
2013-09-30,breakout,-0.02695608943866233
2013-09-30,quality,0.21867376107186384
2013-09-30,risk,0.0426622596235263
2013-09-30,score,0.015796646271567204
2013-12-31,trend,-0.14806970650196016
2013-12-31,breakout,-0.15105586985588382
2013-12-31,quality,0.2173559375242474
2013-12-31,risk,0.07051408705564415
2013-12-31,score,-0.0833697846533302
2014-03-31,trend,-0.19745207052502883
2014-03-31,breakout,-0.1532702587512429
2014-03-31,quality,0.2458503362475644
2014-03-31,risk,0.07304858468340038
2014-03-31,score,-0.13120720996175894
2014-06-30,trend,-0.19064274527776942
2014-06-30,breakout,-0.27104624491564067
2014-06-30,quality,0.2776925160507328
