date,order_book_id
2006-03-31,30
2006-04-03,30
2006-04-04,30
2006-04-05,30
2006-04-06,30
2006-04-07,30
2006-04-10,30
2006-04-11,30
2006-04-12,30
2006-04-13,30
2006-04-14,30
2006-04-17,30
2006-04-18,30
2006-04-19,30
2006-04-20,30
2006-04-21,30
2006-04-24,30
2006-04-25,30
2006-04-26,30
2006-04-27,30
2006-04-28,30
2006-05-08,30
2006-05-09,30
2006-05-10,30
2006-05-11,30
2006-05-12,30
2006-05-15,30
2006-05-16,30
2006-05-17,30
2006-05-18,30
2006-05-19,30
2006-05-22,30
2006-05-23,30
2006-05-24,30
2006-05-25,30
2006-05-26,30
2006-05-29,30
2006-05-30,30
2006-05-31,30
2006-06-01,30
2006-06-02,30
2006-06-05,30
2006-06-06,30
2006-06-07,30
2006-06-08,30
2006-06-09,30
2006-06-12,30
2006-06-13,30
2006-06-14,30
2006-06-15,30
2006-06-16,30
2006-06-19,30
2006-06-20,30
2006-06-21,30
2006-06-22,30
2006-06-23,30
2006-06-26,30
2006-06-27,30
2006-06-28,30
2006-06-29,30
2006-06-30,30
2006-07-03,30
2006-07-04,30
2006-07-05,30
2006-07-06,30
2006-07-07,30
2006-07-10,30
2006-07-11,30
2006-07-12,30
2006-07-13,30
2006-07-14,30
2006-07-17,30
2006-07-18,30
2006-07-19,30
2006-07-20,30
2006-07-21,30
2006-07-24,30
2006-07-25,30
2006-07-26,30
2006-07-27,30
2006-07-28,30
2006-07-31,30
2006-08-01,30
2006-08-02,30
2006-08-03,30
2006-08-04,30
2006-08-07,30
2006-08-08,30
2006-08-09,30
2006-08-10,30
2006-08-11,30
2006-08-14,30
2006-08-15,30
2006-08-16,30
2006-08-17,30
2006-08-18,30
2006-08-21,30
2006-08-22,30
2006-08-23,30
2006-08-24,30
2006-08-25,30
2006-08-28,30
2006-08-29,30
2006-08-30,30
2006-08-31,30
2006-09-01,30
2006-09-04,30
2006-09-05,30
2006-09-06,30
2006-09-07,30
2006-09-08,30
2006-09-11,30
2006-09-12,30
2006-09-13,30
2006-09-14,30
2006-09-15,30
2006-09-18,30
2006-09-19,30
2006-09-20,30
2006-09-21,30
2006-09-22,30
2006-09-25,30
2006-09-26,30
2006-09-27,30
2006-09-28,30
2006-09-29,30
2006-10-09,30
2006-10-10,30
2006-10-11,30
2006-10-12,30
2006-10-13,30
2006-10-16,30
2006-10-17,30
2006-10-18,30
2006-10-19,30
2006-10-20,30
2006-10-23,30
2006-10-24,30
2006-10-25,30
2006-10-26,30
2006-10-27,30
2006-10-30,30
2006-10-31,30
2006-11-01,30
